Factor,Correlation
Online boarding,0.5035573216470093
Inflight entertainment,0.3980594210992996
Seat comfort,0.34945875813699
On-board service,0.3223825214779878
Leg room service,0.3131308016998469
Cleanliness,0.3051980117970029
Inflight wifi service,0.2842450469651465
Baggage handling,0.24774936539485154
Inflight service,0.24474073867042592
Checkin service,0.23617374284175396
Food and drink,0.20993624044633416
Ease of Online booking,0.17170497848730476
Departure/Arrival time convenient,0.051600617697144587
Gate location,0.0006820274562336499
